ticker,date,adjusted
A,2025-02-20,136.7899932861328
A,2025-02-21,135.3699951171875
A,2025-02-24,135.27999877929688
A,2025-02-25,134.17999267578125
A,2025-02-26,134.47000122070313
A,2025-02-27,127.08000183105467
A,2025-02-28,127.91999816894533
A,2025-03-03,126.33000183105467
A,2025-03-04,123.05999755859376
A,2025-03-05,126.51000213623048
A,2025-03-06,126.5500030517578
A,2025-03-07,126.6999969482422
A,2025-03-10,121.9000015258789
A,2025-03-11,121.02999877929688
A,2025-03-12,119.8499984741211
A,2025-03-13,117.33000183105467
AA,2025-02-20,37.131103515625
AA,2025-02-21,34.29020309448242
AA,2025-02-24,34.90822219848633
AA,2025-02-25,34.26029586791992
AA,2025-02-26,33.562530517578125
AA,2025-02-27,33.32329559326172
AA,2025-02-28,33.14387130737305
AA,2025-03-03,31.229999542236328
AA,2025-03-04,31.149999618530273
AA,2025-03-05,32.380001068115234
AA,2025-03-06,32.83000183105469
AA,2025-03-07,32.84000015258789
AA,2025-03-10,30.979999542236328
AA,2025-03-11,31.959999084472656
AA,2025-03-12,33.25
AA,2025-03-13,32.310001373291016
AAL,2025-02-20,15.859999656677246
AAL,2025-02-21,15.229999542236328
AAL,2025-02-24,15.3100004196167
AAL,2025-02-25,15.130000114440918
AAL,2025-02-26,15.18000030517578
AAL,2025-02-27,14.529999732971191
AAL,2025-02-28,14.350000381469728
AAL,2025-03-03,13.869999885559082
AAL,2025-03-04,13.350000381469728
AAL,2025-03-05,14.09000015258789
AAL,2025-03-06,13.25
AAL,2025-03-07,13.029999732971191
AAL,2025-03-10,12.5
AAL,2025-03-11,11.460000038146973
AAL,2025-03-12,10.93000030517578
AAL,2025-03-13,10.670000076293944
AAON,2025-02-20,110.45636749267578
AAON,2025-02-21,103.5047836303711
AAON,2025-02-24,99.94908142089844
AAON,2025-02-25,100.1688232421875
AAON,2025-02-26,101.896728515625
AAON,2025-02-27,78.54497528076172
AAON,2025-02-28,76.70720672607422
AAON,2025-03-03,73.43115997314453
AAON,2025-03-04,75.15907287597656
AAON,2025-03-05,81.84099578857422
AAON,2025-03-06,81.151824951171875
AAON,2025-03-07,81.97083282470703
AAON,2025-03-10,79.69358825683594
AAON,2025-03-11,82.29044342041016
AAON,2025-03-12,81.45146942138672
AAON,2025-03-13,78.21537780761719
