ticker,date,adjusted,return,perc_return,sp500_perc_return,excess_return,excess_return_sign,leading_news_effect
A,2025-02-20,136.5,NA,NA,NA,NA,NA,Positive
A,2025-02-21,135.0830078125,-0.010380895146520146,-1.0380895146520146,-1.7064126702563502,0.6683231556043356,Positive,Positive
A,2025-02-24,134.9932098388672,-6.647614314115308e-4,-0.06647614314115308,-0.4969106504402394,0.43043450729908633,Positive,Negative
A,2025-02-25,133.89552307128906,-0.00813142208329118,-0.8131422083291181,-0.46797309154723604,-0.34516911678188206,Negative,Positive
A,2025-02-26,134.18492126464844,0.0021613731865052182,0.21613731865052183,0.013602428004701734,0.2025348906458201,Positive,Negative
A,2025-02-27,126.8105926513672,-0.054956462647074135,-5.495646264707413,-1.5864553655509903,-3.909190899156423,Negative,Negative
A,2025-02-28,127.6488037109375,0.0066099451319081995,0.6609945131908199,1.5854144634988812,-0.9244199503080612,Negative,Positive
A,2025-03-03,126.06217956542967,-0.012429604503781793,-1.2429604503781793,-1.759673946699975,0.5167134963217956,Positive,Negative
A,2025-03-04,122.79911041259766,-0.025884600473200577,-2.5884600473200576,-1.2234826602200444,-1.3649773871000133,Negative,Positive
A,2025-03-05,126.2417984008789,0.02803512156329166,2.803512156329166,1.1159277893187824,1.6875843670103836,Positive,Positive
A,2025-03-06,126.2817153930664,3.161947365542449e-4,0.03161947365542449,-1.7819007085749892,1.8135201822304137,Positive,Negative
A,2025-03-07,126.43138885498048,0.0011852346275800958,0.11852346275800958,0.5520617802747997,-0.4335383175167901,Negative,Negative
A,2025-03-10,121.64157104492188,-0.037884720348620324,-3.7884720348620324,-2.6973091305425827,-1.0911629043194497,Negative,Positive
A,2025-03-11,120.7734146118164,-0.00713700444385794,-0.7137004443857939,-0.7567865323653215,0.04308608797952751,Positive,Negative
A,2025-03-12,119.59591674804688,-0.009749644551776427,-0.9749644551776426,0.48868699294463464,-1.4636514481222773,Negative,Negative
A,2025-03-13,117.08126068115234,-0.02102627025462889,-2.102627025462889,-1.3890984206835293,-0.7135286047793599,Negative,Positive
A,2025-03-14,120.923095703125,0.03281340668542282,3.281340668542282,2.1265869083087807,1.1547537602335014,Positive,NA
AA,2025-02-20,37.131103515625,NA,NA,NA,NA,NA,Negative
